temp,humidity,windspeed,pressure,day_index,month
17.5,39.5,6.5,1012.5,0,1
17.5,39.5,6.5,1012.5,1,1
18.8,39.7,7.6,1014.2,2,1
18.8,39.7,7.6,1014.2,3,1
19.0,39.8,12.2,1015.0,4,1
19.0,39.8,12.2,1015.0,5,1
18.4,31.4,11.9,1016.6,6,1
18.4,31.4,11.9,1016.6,7,1
18.7,35.0,13.4,1014.4,8,1
18.7,35.0,13.4,1014.4,9,1
18.7,45.4,17.3,1013.6,10,1
18.7,45.4,17.3,1013.6,11,1
17.9,51.3,11.2,1014.5,12,1
17.9,51.3,11.2,1014.5,13,1
17.0,57.1,8.3,1017.3,14,1
17.0,57.1,8.3,1017.3,15,1
18.7,46.5,8.6,1016.7,16,1
18.7,46.5,8.6,1016.7,17,1
16.0,67.1,13.7,1016.8,18,1
16.0,67.1,13.7,1016.8,19,1
14.4,62.6,13.0,1019.9,20,1
14.4,62.6,13.0,1019.9,21,1
15.5,48.0,14.8,1019.7,22,1
15.5,48.0,14.8,1019.7,23,1
16.1,38.6,13.7,1018.8,24,1
16.1,38.6,13.7,1018.8,25,1
16.7,35.1,12.6,1019.5,26,1
16.7,35.1,12.6,1019.5,27,1
17.3,35.3,12.2,1019.4,28,2
17.3,35.3,12.2,1019.4,29,2
