city,date,temp,humidity,windspeed,pressure,day_index
Delhi,2026-01-18,17.5,39.5,6.5,1012.5,0
Delhi,2026-01-18,17.5,39.5,6.5,1012.5,1
Delhi,2026-01-19,18.8,39.7,7.6,1014.2,2
Delhi,2026-01-19,18.8,39.7,7.6,1014.2,3
Delhi,2026-01-20,19.0,39.8,12.2,1015.0,4
Delhi,2026-01-20,19.0,39.8,12.2,1015.0,5
Delhi,2026-01-21,18.4,31.4,11.9,1016.6,6
Delhi,2026-01-21,18.4,31.4,11.9,1016.6,7
Delhi,2026-01-22,18.7,35.0,13.4,1014.4,8
Delhi,2026-01-22,18.7,35.0,13.4,1014.4,9
Delhi,2026-01-23,18.7,45.4,17.3,1013.6,10
Delhi,2026-01-23,18.7,45.4,17.3,1013.6,11
Delhi,2026-01-24,17.9,51.3,11.2,1014.5,12
Delhi,2026-01-24,17.9,51.3,11.2,1014.5,13
Delhi,2026-01-25,17.0,57.1,8.3,1017.3,14
Delhi,2026-01-25,17.0,57.1,8.3,1017.3,15
Delhi,2026-01-26,18.7,46.5,8.6,1016.7,16
Delhi,2026-01-26,18.7,46.5,8.6,1016.7,17
Delhi,2026-01-27,16.0,67.1,13.7,1016.8,18
Delhi,2026-01-27,16.0,67.1,13.7,1016.8,19
Delhi,2026-01-28,14.4,62.6,13.0,1019.9,20
Delhi,2026-01-28,14.4,62.6,13.0,1019.9,21
Delhi,2026-01-29,15.5,48.0,14.8,1019.7,22
Delhi,2026-01-29,15.5,48.0,14.8,1019.7,23
Delhi,2026-01-30,16.1,38.6,13.7,1018.8,24
Delhi,2026-01-30,16.1,38.6,13.7,1018.8,25
Delhi,2026-01-31,16.7,35.1,12.6,1019.5,26
Delhi,2026-01-31,16.7,35.1,12.6,1019.5,27
Delhi,2026-02-01,17.3,35.3,12.2,1019.4,28
Delhi,2026-02-01,17.3,35.3,12.2,1019.4,29
